No,Name,IND-PTI,JIP,MQM-P,Total Votes,Filename
78,78 - K K Abdal School (Male)-I,237,123,173,,
79,"79 - B.M Grammar Public School, Mehran Campus (Female)- IV",155,43,65,,
80,80 - 38. Western Grammar School Campus 01 (Combined)-II,157,127,62,,
81,81 - 38. Western Grammar School Campus 01 (Combined)-II,125,71,60,,
82,82 - 40. EAB GBSS School Orangi No. 10 (Male)-II,179,100,142,,
83,83 - 41. EAB. GBSS School Orangi No. 10 (Female)-I,121,37,54,,
84,84 - 40. EAB GBSS School Orangi No. 10(Male)-II,133,57,117,,
85,85 - 40. EAB GBSS School Orangi No. 10(Female)-I,68,15,41,,
86,"86 - Young Scholar Montessori System, Sector 4- D, Orangi Town. 24.934311, 67.000492 (Combined) (Combined)-I",353,123,41,,
87,"87 - Talent Academy, Sector 4-D, Orangi Town. (Combined) (Combined)-I",328,151,34,,
88,"88 - 46. EAB GGSS Sector-05
Sec School (Combined)-III",285,103,100,,
89,"89 - 46. EAB GGSS Sector-05
Sec School (Combined)-III",143,89,101,,
90,"90 - 46. EAB GGSS Sector-05
Sec School (Combined)-III",167,118,108,,
91,"91 - 46. EAB GGSS Sector-05
Sec School (Male)-I",123,61,112,,
92,"92 - Shaheen Pakistan Secondary School, Sector 5, Orangi Town, Karachi, 24.93853, 67.002871 (Male)- II",97,70,90,,
93,"93 - Shaheen Pakistan Secondary School, Sector 5, Orangi Town, Karachi, 24.93853, 67.002871
(Female)-I",139,53,81,,
94,94 - 52. Georage Ludwig Rxroth Cambridge School (Male)-I,120,85,218,,
95,95 - 52. Georage Ludwig Rxroth Cambridge School (Female)-I,124,43,97,,
96,96 - 54.Reliant Grammar School (Combined)-I,167,92,302,,
97,97 - 55. Al Mehran Sec School (Combined)-II,118,63,220,,
98,98 - 55. Al Mehran Sec School (Combined)-II,173,96,211,,
99,99 - 55. Al Mehran Sec School (Male)-I,122,61,129,,
100,100 - 55. Al Mehran Sec School (Female)-I,78,23,54,,
101,101 - 52. Georage Ludwig Rxroth Cambridge School (Combined)-I,215,75,75,,
102,102 - 61. Muslim Millat School (Male)-I,333,78,16,,
103,103 - 61. Muslim Millat School (Female)-I,111,18,1,,
104,"104 - Govt.Degree Girls College, Sector 11`/`E, Orangi Town. (Male)-II",0,0,0,,
105,"105 - Govt.Degree Girls College, Sector 11`/`E, Orangi Town. (Female)-II",104,52,35,,
106,"106 - 64. GBPS.Khulfa-e-
Rasheedin 11-E Orangi (Male)-I",190,164,133,,
107,"107 - 64. GBPS.Khulfa-e-
Rasheedin 11-E Orangi (Female)-I",116,73,52,,
108,"108 - Govt.Degree Girls College, Sector 11`/`E, Orangi Town. (Combined)-I",273,160,120,,
109,"109 - O.T.H School, Sector 11- E, Orangi Town. 24.940383, 66.996496 (Combined) (Combined)-I",183,156,151,,
110,"110 - Govt.Degree Girls College, Sector 11`/`E, Orangi Town. (Male)-II",138,82,119,,
111,"111 - Govt.Degree Girls College, Sector 11`/`E, Orangi Town. (Female)-II",83,46,36,,
112,112 - 66. Molvi Abdul Haq 11- E (Male)-I,108,101,220,,
113,113 - 67. Molvi Abdul Haq 11- E (Female)-I,111,43,78,,
114,114 - GBPS St-10 School (Male)-I,186,138,159,,
115,115 - Al-Aleem Sec. School Muhammad Nagar (Female)-I,126,75,54,,
116,116 - 74. Pak Medico 11-A (Male)-I,134,176,83,,
117,117 - Mehran House Grammar School Urdu Chowk (Female)-I,90,54,48,,
118,118 - Al-Habib Technical School Al-Mustafa Colony (Male) (Male)-II,123,110,64,,
119,119 - Al-Habib Technical School Al-Mustafa Colony (Male)-II,166,83,74,,
120,120 - Al-Maqsood Education System Faiz-e-Aam (Female)- I,187,82,34,,
121,121 - Al-Maqsood Education System Faiz-e-Aam (Combined)- II,294,149,180,,
122,122 - 82. Dela-salle Grammar Foundation School (Male)-I,113,85,115,,
123,123 - 82. Dela-salle Grammar Foundation School (Female)-I,80,42,50,,
124,124 - Al-Maqsood Education System Faiz-e-Aam (Combined)- II,107,0,0,,
125,125 - 83. GBSS.Mujahid Colony at Faiz-e-Aam (Combined)-I,197,88,245,,
126,"126 - 84. GBPS.Faiz Aam Al-
Mairaj (Combined)-I",179,78,155,,
127,127 - Innovative Leaarning School (Male)-I,284,55,40,,
128,128 - Innovative Leaarning School (Female)-I,54,15,4,,
129,129 - Innovative Leaarning School (Combined)-I,238,82,56,,
130,130 - Jamia Bilalia Aloom Ul Islam School (Male)-I,192,167,425,,
131,131 - Jamia Bilalia Aloom Ul Islam School (Female)-I,0,0,0,,
132,132 - 89. GBPS. Khudkar School (Combined)-II,125,160,128,,
133,133 - 89. GBPS. Khudkar School (Combined)-II,0,0,0,,
134,"134 - Mono Technical College, Touheed Colony, Orangi Town (Combined)-II",150,138,67,,
135,"135 - Mono Technical College, Touheed Colony, Orangi Town, (in the Auditorium) (Combined)-II",172,133,82,,
136,"136 - Mono Technical College, Touheed Colony, Orangi Town (Combined)-I",129,160,64,,
137,137 - Danish Children Sec. School Touheed Colony (Combined)-I,174,151,65,,
138,138 - GBPS Umar Bin Khitab School (Combined)-II,129,60,70,,
139,139 - GBPS Umar Bin Khitab School (Combined)-II,131,168,178,,
140,140 - TCL Kids Academy (Combined)-I,371,85,22,,
141,141 - 98. Iqra Sec School (Male)-II,151,87,50,,
142,142 - 98. Iqra Sec School (Male)-II,243,79,13,,
143,143 - 99. Iqra Sec School (Female)-I,129,33,6,,
144,144 - Rehman Children School (Male)-I,292,304,112,,
145,145 - Rehman Children School (Female)-I,248,195,42,,
146,146 - Montessori House Saleemabad Sec. 11 1`/`2 (Combined)-I,0,0,0,,
147,Scholar Sec School (Combined)-I,270,360,102,,
148,GBPS Dew Drops Imam Colony (Combined)-III,156,155,73,,
149,GBPS Dew Drops Imam Colony (Combined)-III,168,142,34,,
150,"Hafiz ur Rehman School Main Pakistan Bazar, Orangi Town, Sector 11 1`/`2 (Combined)-II",0,0,0,,
151,"Hafiz ur Rehman School Main Pakistan Bazar, Orangi Town, Sector 11 1`/`2 (Combined)-II",0,0,0,,
152,GBPS Dew Drops Imam Colony (Combined)-III,142,103,57,,
153,PNG Grammar School (Combined)-I,155,137,87,,
154,KMC School Millat Colony (Combined)-I,131,126,53,,
155,The World Grammar School (Male)-II,98,100,87,,
156,The World Grammar School (Male)-II,140,126,53,,
157,PNG Grammar School (Female)-I,0,0,0,,
158,KMC School Millat Colony (Male)-I,178,81,93,,
159,The Embellish Academy (Female)-I,126,81,61,,
160,The learning Ocean School (Old Pak Secondary School (Male)-I,160,131,141,,
161,"Happy Home Secondary School School, UC-10,Orangi Town (Female)-I",97,94,60,,
162,"The Beacon Islamic Public Secondary School, Sector 12`/`L, Orangii (Combined)-I",124,100,150,,
163,"Shagufta Memorial School, Sector 12-L, Near Jama Masjid Dayar Habib, UC10, Orangi Town. (Ist `&`",77,81,144,,
164,"Shagufta Memorial School, Sector 12-L, Near Jama Masjid Dayar Habib, UC10, Orangi Town. (Ist `&`",181,178,168,,
165,"Shagufta Memorial School, Sector 12-L, Near Jama Masjid Dayar Habib, UC10, Orangi Town. (Ist `&`",158,193,164,,
