No,Name,PPP,JIP,MQM-P,IND-PTI,Total Votes,Filename
53,GDGC Shahnawaz Shar Goth (Combined),134,88,22,227,,
54,GDGC Shahnawaz Shar Goth 2 2 4 (Combined),332,67,19,81,,
55,GDGC Shahnawaz Shar Goth (Combined),228,96,10,251,,
56,"GBPS Seeta Nagar, SUPARCO Road (Combined)",346,0,8,117,,
57,GGSS Sachal Goth (Combined),280,47,1,91,,
58,Roshan Tara School Sachal Goth (Combined),220,0,2,31,,
59,New Grammar Govt. Primary School Sachal Goth (Combined),274,98,32,144,,
60,D.B. Adwani GBPS Sachal Goth (Combined),260,47,3,86,,
61,Khatoon e Pakistan Girls School (Male),189,50,5,81,,
62,Khatoon e Pakistan Girls School (Male),280,0,9,142,,
63,Foundation Assested School Gharibabad (School Code 140102004) (Combined),260,78,6,0,,
64,D.B. Adwani GBPS Sachal Goth (Combined),208,42,1,63,,
65,The Educators School at Old Ravians Society (Combined),19,68,44,219,,
66,The Educators School at Old Ravians Society (Combined),31,57,52,254,,
67,Maria Millenium High School (Combined),78,31,5,157,,
68,Maria Millenium High School (Combined),117,44,17,251,,
69,White House Grammer School Rizwan Society (Combined),40,207,45,522,,
70,White House Grammer School Rizwan Society (Combined),37,101,25,289,,
71,White House Grammer School Rizwan Society (Combined),107,134,27,307,,
72,"Standard Grammar School Gulzar-e-
Hijri (Combined)",60,74,7,296,,
73,Standard Grammar School Gulzar-e- Hijri (Combined),50,87,10,321,,
74,"K.C.K Grammar School Zohra Nagar
Gulzar-e-Hijri (Combined)",41,105,16,345,,
75,Air Foundation School System Fatima Jinnah Campus Karachi (Male),139,64,15,232,,
76,Babul Atfaal Iqra Islamic School English Medium (Female),135,27,7,173,,
77,GBPS Haji Ramzan Gabool Goth (Combined),21,72,15,520,,
78,GBPS Haji Ramzan Gabool Goth (Combined),95,289,8,222,,
79,"GBPS Haji Ramzan Gabool Goth
(Combined)",369,148,9,263,,
80,"The Haracks School, Chapal Sun City (Combined)",93,129,7,352,,
81,"The Haracks School, Chapal Sun City (Combined)",59,41,3,209,,
82,Govt. Degree Boys College Ghazi Goth (Combined),208,47,0,309,,
83,Govt. Degree Boys College Ghazi Goth,152,26,1,191,,
84,"Govt. Degree Boys College Ghazi Goth
(Combined)",148,36,3,220,,
85,GGHSS University Campus University Road Karachi (Combined),41,73,22,305,,
86,GGHSS University Campus University Road Karachi (Combined),70,143,38,443,,
87,GGHSS University Campus University Road Karachi (Combined),54,134,15,337,,
88,Govt. Girls Primary School University Campus University Road (Combined),77,137,27,317,,
89,Govt. College of Physical Education University Road (Combined),73,40,7,396,,
90,GBPS Kheema Basti at Ayub Goth (Combined),355,55,75,101,,
91,"Sindh Education Foundation ,
Foundation Assisted School (FAS) Madina Colony (Combined)",78,15,90,448,,
92,"Nurture Grammer School, Safora
Chowangi (Combined)",32,36,2,94,,
93,Government Boys Primary School Yar Muhammad Goth (Combined),88,189,39,606,,
94,The Educators Saadi Town (Combined),91,282,35,546,,
95,"Nurture Grammer School, Safora 2 2 4 Chowangi (Combined)",247,77,0,94,,
96,Government Boys Primary School Yar 2 2 4 Muhammad Goth (Combined),291,16,1,159,,
