No,Name,PTI-IND,PPP,PML-N,Total Votes,Filename
133,"133 - Government Girls Primary School, Chah Bhatti Wala (PP-219) (Combined)-I",97,26,92,,
134,"134 - Government Girls Primary School, Chah Sangar Wala, Faiz Pur Bhattia (PP-219) (Combined)-I",277,347,280,,
135,135 - Government Girls Primary School KIRPAL PUR (Chah Mahni Wala) (Male)-I,315,177,485,,
136,136 - Government Girls Primary School KIRPAL PUR (Chah Mahni Wala) (Female)-I,171,191,350,,
137,"137 - Government Girls Model Elementary School, Karpal Pur (Basti Sardar Pur) (PP-219) (Combined)-I",323,526,366,,
138,138 - Government Primary School Basti Shah Hussain (PP-219) (Male)-I,201,217,335,,
139,139 - Government Primary School Basti Shah Hussain (PP-219) (Female)-I,150,194,244,,
140,"140 - Government Primary School, Said Pur (PP-219) (Combined)-I",86,260,193,,
141,1 - Government Primary School BAHAWAL PUR SUKHA CENTRE SANMO RANA Combined-V,402,305,334,,
142,2 - Government Primary School BAHAWAL PUR SUKHA CENTRE SANMO RANA Combined-IV,309,310,266,,
143,3 - Government Girls High School QAYYUM NAWAZ WALA MULTAN Combined-III,229,237,376,,
144,4 - Government Girls High School QAYYUM NAWAZ WALA MULTAN Combined-IV,184,294,391,,
145,5 - Government Primary School ALAM GIR MOUZA ALAMGIR TEH. DISTT. MULTAN Combined-V,67,106,232,,
146,6 - Government Primary School ALAM GIR MOUZA ALAMGIR TEH. DISTT. MULTAN Combined-VII,124,331,203,,
147,7 - Government Girls Primary School WAN CHATTA BAHAWALPUR ROAD MULTAN (Ban Wala) Combined-VII,202,376,233,,
148,8 - Government Girls Primary School WAN CHATTA BAHAWALPUR ROAD MULTAN (Ban Wala) Combined-VI,160,362,156,,
149,9 - Government Girls Elementary School Dera Muhammadi Multan (Dera Budhu Malik) Combined-X,243,469,222,,
150,10 - Government Girls Elementary School Dera Muhammadi Multan (Dera Budhu Malik) Combined-VIII,170,462,246,,
151,11 - Government Girls Elementary School Dera Muhammadi Multan (Dera Budhu Malik) Combined-IX,329,405,335,,
152,12 - Government Elementary School Fazal Model Combined-IV,264,254,151,,
153,13 - Government Elementary School Fazal Model Combined-VI,471,400,306,,
154,14 - Government Elementary School Fazal Model Combined-V,354,334,123,,
156,16 - Goverment Girls Primary School Dera Machine No. 2 Multan Combined-IV,189,351,316,,
157,"17 - Government Girls Primary School Peer Bakhsh sial, Jillani Town Ram Kalli Combined-III",102,114,69,,
158,"18 - Government Girls Primary School Peer Bakhsh sial, Jillani Town Ram Kalli Combined-IV",441,223,125,,
159,"19 - Government Model Primary School Kayan pur, Near UC Kayan pur Office Combined-X",262,291,294,,
160,"20 - Government Model Primary School Kayan pur, Near UC Kayan pur Office Combined-VI",229,594,395,,
161,"21 - Government Model Primary School Kayan pur, Near UC Kayan pur Office Combined-VII",176,260,310,,
162,"22 - Government Model Primary School Kayan pur, Near UC Kayan pur Office Combined-VIII",153,285,198,,
163,"23 - Government Model Primary School Kayan pur, Near UC Kayan pur Office Combined-IX",288,748,465,,
164,"24 - Government Model Primary School KAYAN PUR, CHAH DOGAR WALA Combined-III",249,441,515,,
165,25 - Government Girls Primary School ARAZI GHULAM YASEEN DUNYA PUR ROAD MULTAN (Chah Neepay wala) Combined-VIII,227,314,149,,
166,26 - Government Girls Primary School ARAZI GHULAM YASEEN DUNYA PUR ROAD MULTAN (Chah Neepay wala) Combined-VII,312,323,127,,
167,27 - Government Elementary School AHIL PUR BASTI GHULAM YASEEN (Male)-I,328,727,129,,
168,28 - Government Elementary School AHIL PUR BASTI GHULAM YASEEN Female-II,205,585,76,,
169,29 - Government Higher Secondary School BHAINI BUDHLA ROAD MULTAN (Combined)-I,404,246,111,,
170,30 - Government Higher Secondary School BHAINI BUDHLA ROAD MULTAN Combined-VII,357,88,152,,
171,31 - Government Higher Secondary School BHAINI BUDHLA ROAD MULTAN Combined-VI,226,120,159,,
172,32 - Government High School BHAKAL BHER MULTAN (Combined)-I,167,178,215,,
173,33 - Government High School BHAKAL BHER MULTAN (Combined)-III,261,333,300,,
174,34 - Government High School BHAKAL BHER MULTAN (Combined)-II,172,115,153,,
175,35 - Government Primary School HABBIBA SIAL BASTI KOT RAB NAWAZ (Combined)-I,157,240,333,,
176,36 - Cotton Research Institute Zarati Form (Male)-I,511,164,287,,
177,"37 - Office of Assistant Director (AGR), Cotton Research Zarati Form (Female)-I",400,166,188,,
178,38 - Government Higher Secondary School LAB. MODEL (ATTACH WITH GCET) RANGEEL PUR Male-IV,351,213,340,,
179,39 - Government Higher Secondary School LAB. MODEL (ATTACH WITH GCET) RANGEEL PUR Female-III,220,144,197,,
180,40 - Government Higher Secondary School LAB. MODEL (ATTACH WITH GCET) RANGEEL PUR Male-III,343,130,200,,
181,41 - Government Higher Secondary School LAB. MODEL (ATTACH WITH GCET) RANGEEL PUR Female-IV,277,144,101,,
182,"42 - Government Primary School, Sanmon Rana Combined-III",347,498,444,,
183,"43 - Government Primary School, Sanmon Rana Combined-IV",348,416,343,,
184,44 - QAED Rangel Pur (Teacher Training Center) Combined-III,519,322,115,,
185,45 - QAED Rangel Pur (Teacher Training Center) Combined-IV,176,174,134,,
186,46 - Government Primary School MC FAROOQ PURA MULTAN (Male)-I,275,93,222,,
187,47 - Government Girls High School FAROOQ PURA OLD SHUJABAD ROAD MULTAN (Combined)-I,452,102,181,,
188,48 - Government Girls High School FAROOQ PURA OLD SHUJABAD ROAD MULTAN (Female)-I,203,108,136,,
189,49 - Government Girls High School FAROOQ PURA OLD SHUJABAD ROAD MULTAN (Male)-I,463,214,251,,
190,50 - Government Girls High School FAROOQ PURA OLD SHUJABAD ROAD MULTAN (Female)-II,292,10,141,,
191,51 - Government Primary School MC FAROOQ PURA MULTAN (Male)-II,348,186,234,,
192,52 - Government Girls High School FAROOQ PURA OLD SHUJABAD ROAD MULTAN (Female)-III,200,189,136,,
193,53 - Government Model Primary School GHARIB ABAD GROSS MANDI Male-IX,383,181,362,,
194,54 - Goverment Model Primary School Ghareeb Abad Multan (Girls) (Female)-II,218,169,238,,
195,55 - Government Model Primary School GHARIB ABAD GROSS MANDI Male-X,435,218,322,,
196,56 - Goverment Model Primary School Ghareeb Abad Multan (Girls) (Female)-I,295,202,214,,
197,57 - Union Council Gulnar Colony (Male)-I,226,75,117,,
198,58 - Government Girls Primary School KHATKANA GRASS MANDI (Female)-I,360,257,224,,
199,59 - Union Council Gulnar Colony (Male)-II,299,190,253,,
200,60 - Government Girls High School FAROOQ PURA OLD SHUJABAD ROAD MULTAN (Male)-IV,275,65,118,,
201,61 - Government Girls Primary School KHATKANA GRASS MANDI Female-III,239,165,150,,
202,62 - Government Girls High School FAROOQ PURA OLD SHUJABAD ROAD MULTAN Male-IX,279,215,272,,
203,63 - Government Primary School MC RAMZAN ABAD MULTAN Male-II,328,193,286,,
204,64 - Government Primary School MC RAMZAN ABAD MULTAN Female-II,346,274,319,,
205,65 - Office of the Assistant Director (Agriculture Plant Protection) Qutab Pur Male-II,248,92,187,,
206,66 - Office of the Assistant Director (Agriculture Plant Protection) Qutab Pur Female-II,175,78,103,,
207,67 - Office of the Assistant Director Agriculture Plant Protection Male-II,335,90,103,,
208,68 - Office of the Assistant Director Agriculture Plant Protection Female-II,226,83,62,,
209,69 - Government Girls High School FAROOQ PURA OLD SHUJABAD ROAD MULTAN Male-VII,226,93,86,,
210,70 - Government Girls High School FAROOQ PURA OLD SHUJABAD ROAD MULTAN Female-V,449,166,171,,
211,71 - Government Girls High School FAROOQ PURA OLD SHUJABAD ROAD MULTAN Male-VIII,378,90,188,,
212,72 - Government Model Primary School GHARIB ABAD GROSS MANDI Male-VIII,266,188,125,,
213,73 - Government Model Primary School GHARIB ABAD GROSS MANDI Female-III,346,404,201,,
214,74 - Government Model Primary School GHARIB ABAD GROSS MANDI Male-VII,194,193,175,,
215,75 - Government Girls High School BASTI KHUDA DAD MULTAN Combined-VI,410,150,229,,
216,76 - Government Primary School KHUDA DAD COLONY Combined-III,394,84,327,,
217,77 - Union Council Bhakar Aarbi Male-II,220,143,158,,
218,78 - Government Girls High School BASTI KHUDA DAD MULTAN Female-V,348,223,199,,
219,79 - Government Girls High School BASTI KHUDA DAD MULTAN Combined-IX,406,191,174,,
220,80 - Government Girls High School BASTI KHUDA DAD MULTAN Male-II,467,121,308,,
221,81 - Government Girls High School BASTI KHUDA DAD MULTAN Female-VI,323,109,218,,
222,82 - Government Girls High School BASTI KHUDA DAD MULTAN Combined-VII,389,80,190,,
223,83 - Government Primary School KHUDA DAD COLONY (Combined)-II,251,94,284,,
224,84 - Government Girls High School BASTI KHUDA DAD MULTAN Combined-VIII,336,183,147,,
225,85 - Union Council Bhakar Aarbi (Male)-III,303,101,156,,
226,86 - Government Girls Primary School Doulat Abad NO.2 Multan Male-II,559,107,124,,
227,87 - Government Girls Primary School Doulat Abad NO.2 Multan Female-II,521,72,78,,
228,88 - Government Girls Primary School Doulat Abad NO.2 Multan Combined-II,308,51,222,,
229,89 - Government Degree College for Women Mukhdoom Rasheed Combined-II,448,217,162,,
230,90 - Government Model Primary School BASTI QASIM WALA GILL Combined-III,273,249,309,,
231,91 - Government Model Primary School BASTI QASIM WALA GILL Combined-IV,160,211,291,,
232,"92 - Government Girls Community Model School, Farid Pur Combined-IV",138,428,253,,
233,"93 - Government Girls Community Model School, Farid Pur Combined-III",247,594,366,,
234,94 - Government High School GULZAR PUR DUNIA PUR ROAD Combined-V,225,147,127,,
235,95 - Government High School GULZAR PUR DUNIA PUR ROAD Combined-VI,497,290,215,,
236,96 - Government High School GULZAR PUR DUNIA PUR ROAD Combined-VII,230,249,89,,
237,97 - Government High School GULZAR PUR DUNIA PUR ROAD Combined-VIII,255,223,92,,
238,98 - Government Girls Primary School GUL MUHAMMAD NO 1 MULTAN(chah hakim din wala)) Combined-II,406,503,85,,
239,99 - Government Elementary School CHAK 1 GULZAR Combined-III,116,288,139,,
240,100 - Government Primary School BOTAY WALA P/O GULZAR PUR Combined-II,142,198,189,,
241,101 - Government Primary School BASTI MAAN BASTI JHANDAY WALA Combined-II,272,339,155,,
242,102 - Government Girls Community Model Elementary School BOTAY WALA MAKHDOOM RASHEED Combined-V,316,165,161,,
243,103 - Government Girls Community Model Elementary School BOTAY WALA MAKHDOOM RASHEED Combined-VI,297,193,111,,
244,104 - Government Girls Community Model Elementary School BOTAY WALA MAKHDOOM RASHEED Combined-VII,392,248,210,,
245,105 - Government Girls Community Model Elementary School BOTAY WALA MAKHDOOM RASHEED Combined-VIII,534,183,211,,
246,106 - Government Elementary School FATEH WALA Combined-III,432,396,249,,
247,107 - Government Girls Elementary School FATEH WALA MULTAN Combined-II,545,343,236,,
248,108 - Government High School CHAK NO. 1/MR P/O KHAS MULTAN (Combined)-I,231,233,251,,
249,109 - Government Elementary School CHAK NO 2 MR P/O MUKHDOOM RASHID Combined-III,252,231,494,,
250,110 - Government Elementary School CHAK NO 2 MR P/O MUKHDOOM RASHID Combined-IV,216,189,411,,
251,111 - Government Model Middle School 5-T NO.2 JANOOBI Combined-II,342,419,266,,
252,112 - Government High School CHAK NO. 6-T P/O MAKHDOOM RASHEED Combined-III,217,504,558,,
253,113 - Government Girls Primary School 15 MR P/O 15/MR MULTAN Combined-II,163,515,224,,
254,114 - Government Model Primary School 16 M R P/O 16 MR Combined-II,253,401,362,,
255,115 - Government Model Primary School 17 MR Combined-II,212,360,206,,
256,116 - Government Model Primary School JAMAN SHAH WALA (GPS 11 MR) Combined-II,285,431,455,,
257,117 - Government High School RID P/O LAR BAHAWALPUR ROAD MULTAN Male-II,181,453,169,,
258,118 - Government High School RID P/O LAR BAHAWALPUR ROAD MULTAN Female-II,168,409,126,,
259,119 - Government Elementary School CHAK NO. 19 MR Combined-II,311,171,106,,
260,120 - Government Primary School 14 MR MULTAN P/O 14 MR Combined-III,335,196,189,,
261,121 - Government Elementary School CHAK NO 9-MR P/O MUKHDOOM RASHEED Combined-II,226,330,469,,
262,122 - Government Elementary School CHAK NO.12 MR MULTAN Combined-III,132,456,302,,
263,123 - Government Elementary School CHAK NO.12 MR MULTAN Combined-IV,49,254,249,,
264,124 - Government Model Primary School 13 MR MULTAN P/O 13 MR Combined-II,367,230,395,,
265,"125 - Government Higher Secondary School 18-MR, DUNYA PUR ROAD Male-II",221,500,451,,
266,"126 - Government Higher Secondary School 18-MR, DUNYA PUR ROAD Female-II",122,465,289,,
267,"127 - Government Boys Primary School, 3-MR Combined-II",273,341,498,,
268,128 - Government Elementary School CHAK NO 4-MR P/O MAKHDOOM RASHEED Combined-III,269,208,440,,
269,129 - Government Elementary School CHAK NO 4-MR P/O MAKHDOOM RASHEED Combined-IV,198,128,355,,
270,130 - Government High School CHAK 5/MR P.O. MAKHDOOM RASHID MULTAN Combined-III,328,261,375,,
271,131 - Government High School CHAK 5/MR P.O. MAKHDOOM RASHID MULTAN Combined-IV,134,93,350,,
272,132 - Government Elementary School CHAK NO. 6 MR (Combined)-I,539,420,380,,
273,133 - Government High School KHAN PUR MARAL VIA MAKHDOOM RASHID MULTAN Combined-III,465,214,311,,
274,134 - Government High School KHAN PUR MARAL VIA MAKHDOOM RASHID MULTAN Combined-IV,195,125,229,,
275,135 - Government Model Primary School 7 MR P/O 7 MR Combined-II,356,123,296,,
276,136 - Government High School CHAK NO 8 MR MAKHDOOM RASHID (MULTAN) Combined-II,80,382,369,,
277,137 - Government High School MAKHDOOM RASHEED Male-III,465,327,275,,
278,138 - Government High School MAKHDOOM RASHEED Female-III,397,277,140,,
279,"139 - Government Boys Degree College, Makhdoom Rasheed Combined-II",623,254,301,,
280,140 - Government Elementary School NO 1 MAKHDOOM RASHEED Male-II,701,233,287,,
281,141 - Government Elementary School NO 1 MAKHDOOM RASHEED (Female)-I,513,289,171,,
