No,Name,PML-N,IND,PTI-IND,Total Votes,Filename
167,"Govt: Girls,Primary School Nanak Pur   (Combined)",91,42,746,,
168,"Govt:Boys Insaf Elementary School, Nanak Pur   (Combined)",179,96,209,,
169,Govt: Boys Primary School 5 marla Scheem Bung Hayat  (Combined),274,12,72,,
170,Govt: Girls Primary School  Kot Maan Singh (Combined),16,11,488,,
171,"Govt:Boys Higher Secoundary School, Chak Bedi East    (Combined)",127,37,714,,
172,Govt:Boys Primary School Tahtha Ranghran (Combined),55,28,333,,
173,"Govt:Boys Higher Secoundary School, Chak Bedi West           (Male)",104,44,348,,
174,"Govt:Boys Higher Secoundary School, Chak Bedi (North           (Female)",67,37,267,,
175,"Govt: Girls High School, Chak Bedi    (Combined)",86,38,582,,
176,Govt:Girls Primary School 23/SP     (Combined),35,1,394,,
177,"Govt:Boys High School, 23/SP    (Male)",116,3,835,,
178,"Govt:Boys High School, 23/SP   (Female)",77,5,483,,
179,"Govt:Boys Insaf Elementary School, 22/SP  (Male)",198,12,621,,
180,"Govt: Girls  Insaf Elementary School, 22/SP    (Female)",134,2,391,,
181,Govt:Boys Middle School 11/SP       (Male),33,8,761,,
182,Govt:Girls High School 11/SP   (Female),13,0,631,,
183,"Govt:Boys Insaf Elementary School, 12/SP    (Combined)",232,8,490,,
184,"Govt:Boys High School, 21/SP              (Combined)",111,32,960,,
185,"Govt:BoysInsaf Elementary School, 48/SP       (Male)",134,6,542,,
186,"Govt: Girls Insaf Elementary School, 48/SP   (Female)",37,14,327,,
187,"Govt:Boys High School, Kumhari Wala East     (Male)",317,12,288,,
188,"Govt:Boys High School, Kumhari Wala South (Female)",156,17,204,,
189,"Govt: Girls High School, Kumahari Wala West (Combined)",290,6,285,,
190,Govt: Girls Middle School Kani Pur (Combined),190,6,298,,
191,"Community Model School, Chak 10/SP     (Combined)",114,16,684,,
192,Govt:BoysMiddle School Ghulam Farid Mallay ke Tarro                (Male),368,37,380,,
193,Govt:BoysMiddle School Ghulam Farid Mallay ke Tarro    (Female),164,15,215,,
194,"Govt: Girls Primary School,Ghulam Farid Mallay Ke Tarro   (Combined)",205,14,274,,
195,"Govt:Boys High School, Bail Gunj         (Male)",204,146,191,,
196,"Govt:Boys High School, Bail Gunj (West   (Female)",132,117,147,,
197,Govt: Girls High School Bail Gunj     (Male),277,100,121,,
198,Govt: Girls High School Bail Gunj (West (Female),164,82,87,,
199,Govt:Boys Primary School 6/SP   (Combined),118,14,201,,
200,Govt:Boys Primary School 4/SP     (Combined),399,18,423,,
201,"Govt:Boys High School, 46/SP         (Male)",323,83,279,,
202,"Govt:Boys High School, 46/SP      (Female)",179,67,169,,
203,Govt: Girls Primary School Kot Kahan Singh    (Male),340,67,223,,
204,Govt: Girls Primary School Kot Kahan Singh  (Female),220,44,130,,
205,"Govt: Girls Insaf Elementary School, Fazal Garh                (Male)",324,31,242,,
206,"Govt: Boys Insaf Elementary School, Fazal Garh   (Female)",218,39,159,,
207,"Govt: Boys Insaf Elementary School, 65/D Nazar (Male)",243,79,164,,
208,"Govt: Boys Insaf Elementary School, 65/D Nazar (Female)",147,96,118,,
209,Govt: Girls Primary School 65/D Nazar (Combined),233,108,408,,
210,"Govt:Boys Primary School, 75/D            (Combined)",302,90,476,,
211,"Govt:Boys Insaf Elementary School, 76/D   (Male)",233,143,251,,
212,"Govt:Boys Insaf Elementary School, 76/D    (Female)",163,109,145,,
213,"Govt:Boys Primary School, 77/D              (Combined)",337,275,231,,
214,"Govt:Boys High School, .93/D (East)     (Male)",371,44,315,,
215,"Govt:Girls High School, .93/D East      (Female)",218,17,196,,
216,"Govt: Boys High School, 93/D West      (Male)",312,27,249,,
217,"Govt: Girls High School, 93/D West      (Female)",240,6,173,,
218,"Govt: Boys High School, 93/D (South)     (Male)",316,25,362,,
219,"Govt: Girls High School, 93/D (South)  (Female)",221,19,207,,
220,"Govt:Boys Primary School, 59/SP   (Male)",279,105,225,,
221,"Govt:Boys Primary School, 59/SP     (Female)",194,52,178,,
222,Govt: Girls Primary School Center Hari Pur   (Combined),278,5,31,,
223,"Govt: Boys Primary School, Tibba Sher Shah  (Male)",383,79,348,,
224,"Govt: Girls Primary School, Tibba Sher Shah (Female)",257,35,202,,
225,Govt Boys Primary School Arizi Fazal Bhatti   (Male),408,42,263,,
226,Govt Boys Primary School Arizi Fazal Bhatti (Female),189,25,143,,
227,"Govt:Boys Insaf Elementary School, Kot Hukam singh  (Male)",380,16,333,,
228,"Govt:Boys Insaf Elementary School, Kot Hukam singh (Female)",240,15,192,,
229,"Govt:boys Insaf Elementary School, Adda Malka Hans             (Combined)",420,12,269,,
230,"Govt:Boys Primary School, Noor Jang Malka Hans     (Combined)",307,15,134,,
231,"Govt:Boys Higher Secondary  School,Malka Hans East     (Combined)",372,91,303,,
232,"Govt:Boys Higher Secondary School, Malka Hans West     (Male)",308,27,391,,
233,"Govt:Boys Higher Secondary School, Malka Hans North   (Female)",275,25,609,,
234,"Govt: Girls Higher Secondary School, Malka Hans East       (Male)",244,10,213,,
235,Govt: Girls Higher Secondary School Malka Hans West    (Female),151,2,176,,
236,"Govt: Girls Higher Secondary School, Malka Hans (South)   Male",259,40,297,,
237,Govt: Girls Higher Secondary School Malka Hans North   (Female),192,19,191,,
238,Govt. Boys Middle School Malka Hans(New Portion)               (Male),259,15,524,,
239,Govt. Boys Middle School Malka Hans old Portion  (Female),158,5,372,,
240,"Govt:Boys Higher Secondary School, Malka Hans  (Male)",275,25,609,,
241,Office Union Council No.28 Malka Hans       (Female),108,4,350,,
242,"Govt: Boys Middle School, Malka Hans Primary Portion Old dispensary    (Combined)",119,34,122,,
243,Govt: Girls Primary School Malka Hans         (Combined),271,88,305,,
244,"Govt:Boys Insaf Elementary School,  Mall   ( Male)",118,136,225,,
245,"Govt:Boys Insaf Elementary School,  Mall         ( Female)",95,83,172,,
246,"Govt:Boys Primary School, Saleem Kot    (Combined)",208,87,479,,
247,Govt:Boys Middle School Chak Shah Khagga (Combined),207,512,114,,
248,"Govt: Girls  Insaf Elementary School, Wandal Singh        ( Male)",355,171,170,,
249,"Govt: Girls Insaf Elementary School, Wandal Singh  ( Female)",314,111,129,,
250,Govt:Boys Primary School 34/SP  ( Male),145,134,293,,
251,Govt Girls Middle School 34/SP   ( Female),127,86,258,,
252,Govt:Girls Middle School 34/SP  (Combined),273,161,239,,
253,Govt: Girls Community Model Elementary School 32/SP (Combined),211,21,571,,
254,Govt:Boys High School 32/SP     ( Primay Portion) (Male),129,9,336,,
255,Govt:Boys High School 32/SP      ( Primay Portion)   (Female),116,5,248,,
256,Govt: Boys Primary School 36/SP         Khurd        (Combined),455,108,190,,
257,Govt: Boys Primary School  36/SP Klan   ( Male),342,81,208,,
258,Govt: Boys Primary School  36/SP klan  ( Female),266,49,130,,
259,Govt: Girls Primary School 30/SP  (Male),474,68,157,,
260,Govt: Girls Middle School New Buliding 30/SP  (Female),411,46,135,,
261,"Govt: Girls,Middle School, 35/SP   (Male)",235,51,347,,
262,"Govt: Girls,Middle School, 35/SP  (Female)",172,30,201,,
263,Govt :Boys High School 33/SP  (Male),312,95,416,,
264,"Govt: Girls  Insaf Elementary School, 33/SP  (Female)",238,38,288,,
265,Govt: Boys Primary School Dhawana (Male),450,105,192,,
266,Govt:Girls Primary School Dhawana            (Female),339,36,140,,
267,Govt:Boys Middle School 20/SP  (Male),386,53,280,,
268,"Govt: Girls,High School, 20/SP (Female)",261,34,189,,
269,Govt:Boys Primary School 20/SP  (Male),247,46,211,,
270,"Govt: Girls,Middle School, 20/SP     (Female)",198,23,193,,
271,"Govt: Girls Middle School, Farid Pur Dogran  (Combined)",352,237,154,,
272,Govt: Girls Primary School Chak Nizam Din       (Combined),330,44,257,,
273,Govt: Girls Primary School 31/SP   (Male),329,69,167,,
274,Govt: Girls Primary School 31/SP   (Female),265,42,121,,
275,"Govt:Boys High School, 29/SP East,  (Male)",292,33,413,,
276,"Govt:Boys,High School, 29/SP West               (Female)",202,27,246,,
277,"Govt: Girls, Insaf Elementary School, Chawant East     (Male)",51,75,665,,
278,Govt: Girls Primary School 33 SP Chanwat          (Female),36,40,510,,
279,"Govt:Boys Insaf Elementary School, 68/D   (Male)",301,169,103,,
280,Govt Girls Middle  School 68/D    (Female),220,2,102,,
281,Govt:Boys Primary School 57/SP    (Combined),321,110,351,,
282,Govt: Girls Middle School 68/D Combined),443,108,153,,
283,"Govt:Boys High School, Dhappai    (Male)",404,9,215,,
284,"Govt:Boys High School, Dhappai    (Female)",246,3,162,,
285,"Govt:BoysInsaf Elementary School,  55/SP East (Combined)",178,16,268,,
286,"Govt:Boys Insaf Elementary School, 55/SP West  (Combined)",179,43,212,,
287,"Govt: Boy Insaf Elementary School, 56/SP   (Combined)",371,33,465,,
288,Govt: Girls Primary School 56/SP  (Combined),236,72,209,,
289,Govt:Boys Primary School Sardool   (Combined),329,104,137,,
290,Govt: Girls Primary School Chak Jaffar Ali Shah   (Combined),135,121,84,,
291,"Govt:Boys,High School, Chak Sandhay Khan   (Male)",170,80,277,,
292,"Govt:Boys,High School, Chak Sandhay Khan (Female)",132,41,190,,
293,"Govt:Boys Primary School, 58/SP  (Combined)",289,503,77,,
294,"Govt: Girls Middle School, Sandhay Khan   (Combined)",146,0,140,,
295,"Govt:Boys Insaf Elementary School, 71/D (Male)",153,203,375,,
296,"Govt:Boys Insaf Elementary School, 71/D  (Female)",124,126,259,,
297,Govt:Boys Primary School 72/D   (Combined),160,78,433,,
298,Govt: Girls Primary School 73/D   (Combined),407,181,298,,
299,Govt:Boys Primary School Kharlanwala 74/D     (Male),335,65,283,,
300,Govt:Boys Primary School 74/D Kharlanwala                     (Female),304,17,189,,
301,"Govt:Boys Primary School, Ghuri    (Combined)",185,134,287,,
302,"Govt:Boys High School, 70/D    (Male)",376,31,134,,
303,"Govt:Boys High School, 70/D   (Female)",274,17,105,,
304,Govt:Girls Primary School Ram Pur  (Combined),371,2,550,,
305,Govt:Boys Primary School Gurditta   (Combined),292,64,204,,
306,Govt: Boys  Primary School Talib Ali  (Combined),95,1,10,,
307,Govt:Boys Primary School Patasa  (Combined),250,154,380,,
308,"Govt: Boys  Primary School, Mehmood Pur   (Combined)",366,5,367,,
309,"Govt:Boys Insaf Elementary School, Amar Singh          (Combined)",347,14,296,,
310,"Govt:Boys High School, 27/SP (Male)",204,52,461,,
311,"Govt:Boys High School, 27/SP   (Female)",169,25,371,,
312,"Govt: Girls  Insaf Elementary School, 26/SP  (Combined)",186,47,309,,
313,"Govt:Boys Insaf Elementary School, 26/SP   (Male)",239,125,203,,
314,"Govt:BoysInsaf Elementary School, 26/SP   (Female)",194,84,183,,
315,Govt:Boys Primary School 28/SP  (Combined),213,20,56,,
316,"Govt:Boys Insaf Elementary School, Saithan Wala  (Combined)",159,8,438,,
317,"Govt:Boys Insaf Elementary School, 18/SP East             (Combined)",362,8,352,,
318,"Govt:Boys Insaf Elementary School, 18/SP West              (Combined)",207,21,498,,
319,"Govt:Boys Insaf Elementary School, 25/SP            (Combined)",207,29,417,,
320,Govt: Girls Primary School 25/SP   (Male),77,6,452,,
321,"Govt: BoysInsaf Elementary School, 25/SP (Female)",69,3,311,,
322,Govt:Boys High School Gobind Pur  (Male),68,11,583,,
323,Govt:Boys High School Gobind Pur   (Female),43,9,419,,
324,Govt: Girls Community Model School Gobind Pur  (Male),201,14,405,,
325,Govt: Girls Community Model School Gobind Pur (Female),149,16,248,,
326,Govt:Boys Primary School Naqsha  (Combined),194,51,351,,
327,"Govt:Boys Primary School, Tibbi Sabay wali  (Combined)",106,11,547,,
328,"Govt:Boys High School, 62/D  (Male)",156,172,230,,
329,"Govt:Boys High School, 62/D   (Female)",74,131,119,,
330,Govt:Boys Primary School Tiwana   (Combined),192,223,425,,
331,"Govt:Boys Insaf Elementary School, 59/D  (Combined)",269,56,431,,
332,Govt: Girls Middle School 59/D  (Combined),267,37,182,,
333,"Govt:Boys High School, 60/D East (Combined)",330,47,237,,
334,"Govt:Boys High School, 60/D west  (Combined)",257,23,155,,
335,"Govt:Boys Insaf Elementary School, (New) 56/D (Male)",247,65,199,,
336,"Govt:Boys Insaf Elementary School,(New) 56/D (Female)",173,44,140,,
337,Govt:Boys Primary School 57/D  (Combined),251,330,38,,
338,Govt:Girls Model Primary School 58/D (Combined),305,103,223,,
339,"Govt:Boys Primary School, Alwardi Khan East  (Male)",359,16,344,,
340,"Govt:Boys Primary School, Alwardi Khan West (Female)",167,3,160,,
341,"Govt:Boys Insaf Elementary School, 61/D   (Combined)",201,27,554,,
342,Govt:Girls Middle School Heela Wattoowan   (Male),227,32,291,,
343,Govt:Girls Middle School Heela Wattoowan   (Female),120,17,139,,
344,"Govt:Boys Primary School, Heela Kalarya  (Male)",343,6,125,,
345,"Govt:Boys Primary School, Heela Kalarya (Female)",246,7,75,,
346,Govt:Boys Middle School 63/D   (Male),354,70,265,,
347,Govt: Girls High School 63/D  (Female),251,58,163,,
348,Govt:Boys Primary School Tibbi Kalu Wali  (Combined),181,36,341,,
349,Govt:Boys Middle School 67/D    (Male),387,38,280,,
350,Govt:Boys Middle School 67/D  (Female),239,28,197,,
351,"Govt: Girls  Insaf Elementary School, 67/D   (Combined)",369,79,159,,
352,Govt:Boys Primary School Nosher Bodla (Combined),237,39,667,,
353,Govt:Boys Primary School 66/D    (Male),111,60,370,,
354,Govt:Boys Primary School 66/D  (Female),51,37,249,,
355,"Govt:Boys Insaf Elementary School, Islam Garh   (Akal Garh)         (Combined)",67,19,319,,
356,Govt: Boys High  School Kartar Pur (Badian)  (Male),120,15,317,,
357,Govt: Girls Primary School Kartar Pur (Badian)  (Female),79,10,232,,
358,"Govt:Boys High School, Kartar Pur (Badian)     (Male)",72,7,308,,
359,"Govt:Girls Primary School, Kartar Pur (Badian))  (Female)",34,2,218,,
360,"Govt:Boys Primary School, 24/SP( Combined)",55,34,548,,
361,"Govt:Boys Insaf Elementary School, Nizam Addli key (Combined)",194,24,643,,
362,"Govt: Boys Insaf Elementary School, Sham Kot (Combined",376,165,108,,
363,"Govt: Boys High School Colony Area, Pakpattan (Male)",86,13,205,,
364,"Govt:Girls High School, Colony  Area, Pakpattan  West  (Female)",57,13,171,,
365,"Govt Boys High School Colony Area, Pakpattan (Male)",373,26,669,,
366,"Govt:Girls High School, Colony  Area, Pakpattan  West (Female)",295,43,483,,
367,"Tehsil Office, Basti Aslam Noai East  (Male)",258,26,253,,
368,"Govt:Girls Primary School, Basti Aslam Noai (Female)",178,27,217,,
369,Govt: Girls College for Women East    (Male),130,18,213,,
370,Govt: Girls College for Women West  (Female),99,30,177,,
371,"Govt:Boys Insaf Elementary School, Madayshah  (Combined)",260,26,149,,
372,"Tehsil Office, Basti Aslam Noai West   (Male)",143,9,152,,
373,"Govt::Boys Insaf Elementary  School, Basti Aslam Noi     (Female)",93,17,120,,
374,"Tehsil Office, Basti Aslam Noai East   (Male)",353,53,542,,
375,"Govt:Girls Primary School, Basti Aslam Noai (Female)",245,46,366,,
376,"Tehsil Office, Basti Aslam Noai West (Male)",217,45,438,,
377,Govt: Girls College for Women  (Female),147,44,326,,
378,"Govt:Girls Primary School, Basti Girja Ghar East  (Male)",165,7,147,,
379,"Govt:Girls Primary School, Basti Girja Ghar West   (Female)",151,28,105,,
380,"Govt::Boys Insaf Elementary School, Basti Azizabad East (Male)",253,20,164,,
381,"Govt::Boys Insaf Elementary  School, Basti Azizabad West  (Female)",189,39,130,,
