No,Name,PTI-IND,PML-N,JUIF,PPP,TLP,Total Votes,Filename
144,Govt Boys School Kandaan,247,328,7,43,13,,
87,Ghs,332,200,3,221,32,,
N/A,Govt School Dera Hayat,198,88,7,32,40,,
147,Govt School,342,241,3,67,47,,
150,N/A,416,136,37,56,37,,
151,Ghs,136,359,148,20,35,,
153,Govt Chak,269,223,5,17,39,,
154,Ggps Smb,204,126,1,23,69,,
155,Govt Model,326,219,73,89,12,,
156,Govt Boys School,278,357,14,96,21,,
157,Chakki Shamal,172,173,5,44,86,,
158,Govt Boys High Schook Chakki Shamal,274,154,2,43,34,,
159,Ggps Basti Sher Wali,232,236,2,68,39,,
160,Govt Ps Sher Wali,352,250,0,41,74,,
162,Khatwai,150,153,1,151,29,,
163,Gges Kunal,333,320,3,44,45,,
165,Govt Girls Khaliqabad,367,392,6,32,80,,
166,Dera Kirman,409,364,1,76,65,,
165,Boys School Yand,521,334,4,60,71,,
167,Gbps Arrara,296,271,0,23,18,,
169,Gges Nalli,89,102,1,5,20,,
171,Govt Nalli,260,210,3,58,50,,
172,Govt Boys School Nalli,314,225,6,33,58,,
173,Govt Boys School Nalli,264,215,3,49,26,,
174,Govt Boys School Nalli,170,319,10,86,11,,
175,Govt Model Gharal,531,281,49,70,23,,
176,Ghs Nari,463,154,34,102,220,,
177,Gbh Ss Nari,358,367,100,56,25,,
178,Govt Nari,275,183,29,40,22,,
180,Govt Girls School Nari,161,58,18,36,16,,
181,Govt Girls School Nari,391,163,48,50,63,,
182,Gps Pindi,309,86,1,28,61,,
183,Gps Pindi,354,119,1,78,68,,
184,N/A,332,112,0,32,24,,
185,Govt High School Wair,313,245,13,135,17,,
186,Govt Girl Vahar,241,266,9,105,21,,
188,Govt High School Vahar,341,129,2,101,54,,
N/A,Gbes Dhok Meer,237,115,0,52,24,,
N/A,Govt School Jaddi,195,78,0,122,26,,
189,Govt School Sako,154,73,0,83,41,,
190,Govt Boys School,343,145,1,80,54,,
192,Govt Boys School Kamaan,221,178,2,68,60,,
193,Govt Girls School Jabbi,320,168,2,118,86,,
197,Ggp Hussain Garaan,336,233,5,20,51,,
198,Govt Boys School Rok,258,174,29,19,32,,
199,N/A,169,178,12,2,37,,
200,Govt Primary School Tajpura,569,500,59,61,130,,
202,Gps Madhanwal,744,474,71,41,93,,
204,Gghs Ghosnagar,154,113,11,7,5,,
209,Govt Ps Noor Islam Sikandarabad,451,269,72,52,95,,
210,Govt Vti,385,204,57,45,53,,
211,Govt Gps Mc Chakanwal,458,417,127,59,27,,
198,Mc School Khushab,221,179,268,19,17,,
199,Govt School Dhak,168,169,213,13,17,,
200,Mc Khushab Mcghs,292,236,220,26,41,,
217,Gghs Dhak Khushab,191,141,155,30,19,,
223,Ggmc Khushab,296,206,46,25,15,,
224,Gps Kosar,447,350,56,20,111,,
225,Govt School Kausar Rasulabad,379,266,37,50,63,,
226,Govt School Kol,600,325,59,51,63,,
228,Govt Boys Shahana,377,288,16,56,79,,
230,Govt School Khushab,539,326,53,50,119,,
N/A,Hussainabad Khusab,275,255,11,81,32,,
231,Tcf Hussainabad,363,280,51,72,74,,
232,Gbh Khusab,502,234,36,26,12,,
233,Ggs Khushab,386,268,28,26,6,,
N/A,Govt Girls College Khushab,480,293,33,16,80,,
235,Sano Pak School,274,244,23,46,14,,
236,Gps Khushab,529,315,24,53,43,,
237,Ggps Dhok,436,145,5,3,62,,
238,Gmps Ahmadpura,391,272,20,11,89,,
239,Gitg Khushab,334,220,17,16,35,,
240,Govt Girls School Khushab,518,391,31,49,95,,
241,Govt Rahman Pura,411,307,34,17,44,,
242,Office Of Sro Mines,441,200,36,22,41,,
244,N/A,555,278,63,21,85,,
245,Govt Model School Khushab,544,305,36,22,92,,
246,Govt Girls College Khushab,420,265,27,27,38,,
248,Govt Girls College Khushab,387,278,29,20,37,,
249,Fauji Foundation Khushab,257,157,14,4,11,,
250,Govt Girls Secondary School,176,140,15,9,9,,
251,Ggmh Johar Abad,507,211,34,18,43,,
252,Gg Degree College,421,156,40,25,20,,
253,Information Office Khusab,263,212,21,25,45,,
254,Govt Girls School Johar Abad,234,182,11,20,30,,
255,Govt Memorial School Joharabad,465,246,20,18,67,,
256,Govt Memorial School Joharabad,458,292,9,12,41,,
257,Institute Of Slow Learner Joharabad,420,216,3,7,27,,
258,Director Agriculture,372,249,13,24,38,,
259,Gg Kohinoor,265,207,6,51,18,,
261,Sarfaraz Colony Joharabad,364,238,22,72,33,,
262,Chief Officer Muncipal Committee,141,47,11,6,6,,
264,Govt Girls High School Joharabad,392,161,29,12,9,,
265,Ghs Joharabad,923,427,46,54,31,,
266,Ggps Joharabad,754,223,36,36,26,,
267,Deaf Joharabad,365,147,13,18,12,,
268,Govt College Joharabad,307,107,2,12,2,,
269,Gc Joharabad,496,319,16,27,52,,
270,N/A,424,246,21,15,29,,
271,Gt Mhs Joharabad,414,235,39,23,75,,
273,N/A,265,225,22,11,36,,
274,Ggps Joharabad,360,238,24,55,41,,
275,University Of Education,313,224,11,36,24,,
276,Git Joharabad,599,286,16,55,129,,
278,Govt Commerce College,478,194,46,11,63,,
278,Commerce College Joharabad,478,194,46,11,63,,
279,Govt Girls College Joharabad,111,37,9,5,19,,
281,Govt Girls College Gareeb Colony,305,163,7,73,46,,
282,District Population Office,206,114,8,19,9,,
283,Gps Ramzan,262,283,11,10,33,,
284,Gfs Boys Joharabad,390,245,19,10,69,,
286,Govt Boys School,573,398,48,43,57,,
N/A,Gpps Hashali,423,367,23,46,27,,
287,Govt Girls High School,350,321,59,32,129,,
288,Gbhs Gudali,327,253,32,27,39,,
290,Gps Hadali,543,398,33,39,112,,
292,Govt School Hadali,436,257,27,36,69,,
293,Gghs Hadali,374,197,57,59,79,,
294,Govt Boys School Hadali,288,183,49,54,49,,
295,Gghs Hadali,204,121,5,9,39,,
296,Ggeh Hadali,184,95,10,28,27,,
297,Ggeh Hadali,349,244,17,97,177,,
299,Govt Boys School Joharabad,392,217,17,37,141,,
300,Govt Boys School Zaman Colony,298,163,14,55,73,,
301,Gbps,283,185,23,27,49,,
302,Gps Noor Haval,372,356,15,14,27,,
303,Gbs Bala,365,189,24,36,11,,
307,Govt Girls East Lola,357,224,21,68,13,,
309,Ghss,368,347,58,43,97,,
310,Gges Sharawla,319,258,41,62,66,,
311,Mohallah Shallo Nawaz,382,325,200,35,60,,
312,Govt Boys School,370,233,141,43,36,,
314,Mithath Gbps,390,272,29,29,58,,
315,Govt Boys School,445,333,36,17,67,,
318,Ghss Mithath,103,208,13,76,21,,
322,Dare Arqam School,186,155,4,17,51,,
N/A,Govt Girls Rakh Muth,221,390,17,49,110,,
N/A,Govt Higher Secondary School,342,263,21,42,36,,
326,Govt Boys Shahbano,420,294,33,75,64,,
327,Gbps Jhuggi Marday,353,159,1,16,12,,
328,Gbps Jangli,194,125,3,72,35,,
329,Govt Girls School Botala,489,287,13,61,57,,
330,Govt Girls School Tosala,343,180,5,21,12,,
331,Ggs Tosala,518,204,12,51,11,,
332,Kolo Nawab,290,334,6,31,9,,
333,Govt Girls School Bjar,249,212,6,25,11,,
334,Govt Boys High School,739,308,24,35,21,,
335,Ghs Bajar,354,106,20,13,18,,
N/A,Ghs Bajar,362,137,9,58,14,,
337,Ggs Bajar,359,184,6,13,9,,
339,Govt Sheikho,435,284,4,48,7,,
339,Govt School Sadiqabad,500,338,16,103,47,,
341,Govt Cadet Core,220,220,1,9,37,,
341,Govt Pindi Core,220,220,1,9,37,,
340,Govt Ware Sharki,145,103,1,53,15,,
342,Gps Boys Nanay Wala,314,262,1,15,65,,
343,Ggps,583,628,107,39,8,,
N/A,Khatbawala,474,407,172,45,57,,
N/A,Dare Arqam,216,181,136,25,15,,
N/A,Govt Boys Anga,383,168,176,8,49,,
213,Chakkan Wala Ggps,370,283,116,48,35,,
260,Govt Boys Joharabad,493,281,27,71,96,,
N/A,Ghareeb Colony,315,198,14,16,40,,
263,Gs No 4 Kambo Block,438,213,39,16,29,,
308,Gg Bola,278,204,14,50,6,,
303,Gb Ps Sultanpur,228,262,6,185,14,,
304,Gps Dera,228,211,4,219,24,,
168,Govt School Boys Falwal,440,561,1,30,59,,
N/A,Gghs Rosa Property,313,146,260,14,15,,
161,Gbs Chappar Sharif,113,114,0,27,57,,
112,Govt School Chambal,209,350,0,32,21,,
195,Govt School Bhera,226,12,1,111,13,,
179,Ghss Nari Wal,261,124,41,29,29,,
151,Gmps Ssmb,278,229,4,18,19,,
146,N/A,272,107,21,23,33,,
344,N/A,440,463,100,62,8,,
110,Kurar,477,180,1,193,24,,
111,Kurar,401,192,1,90,39,,
203,Zoufishan Public School,642,389,57,69,74,,
130,Govt Girls School Ghar Ghar,14,6,0,0,0,,
82,N/A,408,46,1,32,8,,
81,N/A,388,199,1,8,19,,
313,Govt Secondary School,225,131,10,38,25,,
212,Khutbanwala,474,407,172,45,57,,
227,Hussainabad Khushab,275,255,11,81,32,,
317,Mitha,148,269,25,24,51,,
272,Degree College,424,246,21,15,29,,
74,Gbmc Noshera,361,223,5,59,60,,
205,N/A,461,264,33,50,28,,
78,Ggs Noshera,306,170,8,15,33,,
305,N/A,461,264,33,50,28,,
320,Govt School Thatha,62,70,14,72,14,,
N/A,Hussainabad Khusab,275,255,11,81,32,,
