No,Name,TLP,PTI-IND,PPP,MQM-P,Total Votes,Filename
105,Al Bakka Sec School (combined),18,176,72,88,,
106,"Al Basit Motivate Sec School Nasir
Colony (Combined)",40,256,48,39,,
107,"GBHSS Comprehensive 2/B Bangali
Sector 32/E (Combined)",49,387,31,51,,
108,"GBHSS Comprehensive 2/B Bangali
Sector 32/E (Combined)",52,401,127,65,,
109,"Office Of The Makhdoom Bilawal
Society (Combined)",16,255,119,42,,
110,"Feroza Khatoon Women College
(Combined)",29,215,124,28,,
111,The Educator School  Darul Salam society Campus(primary)  (Combined),10,340,28,40,,
112,"AQ Education Academy 31/B KDA
(Combined)",36,244,88,18,,
113,Sir Solomons Academy (Combined),24,269,50,12,,
114,NAsra School Darus Salam (Combined),12,230,41,37,,
115,NAsra School Darus Salam (Combined),16,240,17,28,,
116,Morning Star School (Combined),17,132,1,36,,
117,"Junaid Sec School ZIA COLONY
(Combined)",23,186,120,57,,
118,"Junaid Sec School ZIA COLONY
(Combined)",12,192,126,21,,
119,Hope School ZIA COLONY (Combined),31,179,98,32,,
120,GUBPS ZIA COLONY (combined),48,183,98,43,,
121,GUBPS ZIA COLONY (combined),30,206,105,23,,
122,GGLSS ZIA COLONY (male),57,131,108,41,,
123,GGLSS ZIA COLONY (female),0,0,0,0,,
124,"Sarfaraz Pilot Sec School P&T Society
(male)",29,532,82,162,,
125,"Sarfaraz Pilot Sec School P&T Society
(female)",0,0,0,0,,
126,"Guardian House Sec School P&T
Society (Combined)",32,227,26,58,,
127,"Aftab Sec School P&T society
(combined)",14,262,26,72,,
128,"Sky Lark Sec School Sector 32/B
Korangi No 1:1/2 (combined)",56,189,11,39,,
129,"Fahama Public School Sector 32/A
(combined)",0,0,0,0,,
130,"Fahama Public School Sector 32/A
(combined)",82,405,42,50,,
131,"Iqra Grammer School Sector 32/A
Korangi (combined)",42,309,53,57,,
132,GBPS KTS No 11 (male),0,0,0,0,,
133,GGSS KTS No 11 (female),4,1,0,0,,
134,"Modern Vision Schooling System
(combined)",98,297,27,91,,
135,"Muslim Public School S Area Korangi
No 1 (Combined)",87,160,49,70,,
136,Urooj Public School (Combined),0,0,0,0,,
137,"Glourious Education System New
Abadi (Combined)",0,0,0,0,,
138,Margarts Sec School (Combined),12,91,257,86,,
139,GBPS Chakro Village (Combined),0,0,0,0,,
140,GBPS Chakro Village (Combined),0,0,0,0,,
141,GUBPS KTS No 21 (Combined),0,0,0,0,,
142,GUBPS KTS No 21 (Combined),53,430,43,126,,
143,GUBPS KTS No 21 (Combined),0,0,0,0,,
144,GUBPS KTS No 21 (Combined),0,0,0,0,,
145,Al Mustafa Academy (male),89,425,69,65,,
146,Al Mustafa Academy (female),0,0,0,0,,
147,GUBPS KTS No 21 (Combined),0,0,0,0,,
148,Ali Raza Sec School (combined),32,161,171,17,,
149,"Darul Uloom Usmania Noraani Basti
(Combined)",35,177,92,17,,
150,Ismail School Korangi NO 4 (combined),14,127,181,82,,
151,Ismail School Korangi NO 4 (combined),0,0,0,0,,
152,"GUBPS KTS -18 Christan Town Korangi
No 4 ( Combined)",54,239,58,47,,
153,"Saba English School Korangi No 4
(combined)",90,340,26,46,,
154,"Saba English School Korangi No 4
(combined)",94,247,0,0,,
155,"Saba English School Korangi No 4
(combined)",87,137,34,42,,
156,"St Francis School Rahimabad Korangi
(combined)",107,333,80,140,,
157,"St Francis School Rahimabad Korangi
(combined)",130,260,55,131,,
158,"GUBPS No 1/4 Korangi No 2:1/2
(Combined)",145,553,47,96,,
159,"GUBPS No 1/4 Korangi No 2:1/2
(Combined)",169,444,35,77,,
160,"God Blessing School Sector 41/B
Korangi No 2:1/2 (Combined)",132,220,16,39,,
161,"God Blessing School Sector 41/B
Korangi No 2:1/2 (Combined)",115,294,7,47,,
162,GGSS Millat Korangi NO 2 (combined),78,496,21,82,,
163,GGSS Millat Korangi NO 2 (combined),139,276,35,89,,
164,GBSS Millat Korangi NO 2 (combined),81,252,10,12,,
165,GBSS Millat Korangi NO 2 (combined),134,309,14,50,,
166,GUBPS KTS-18 Korangi (combined),122,215,42,49,,
167,"New Era School Korangi No 4
(combined)",83,182,37,72,,
168,"Govt Boys Primary School No 2
(combined)",55,264,78,79,,
169,"Govt Boys Primary School No 2
(combined)",24,201,55,71,,
170,"GBSS Hijrabad Bhittai colony
(Combined)",24,297,65,27,,
171,"GBSS Hijrabad Bhittai colony
(Combined)",33,365,106,19,,
172,"GBSS Hijrabad Bhittai colony
(Combined)",20,300,110,27,,
173,"Jinnah Foundation Sec Bhittai Colony
(Combined)",22,404,147,53,,
174,Karachi Public School (combined),0,0,0,0,,
175,"Karachi Public School Bhittai Colony
(combined)",22,423,79,10,,
176,"Karachi Public School Bhittai Colony
(combined)",35,669,97,16,,
177,"Jinnah Foundation Sec Bhittai Colony
(Combined)",22,495,113,5,,
178,"Shehnaz Sec School Bhittai Colony
(combined)",34,281,98,12,,
179,"St Francis High School Street 22 -A
area (Combined)",25,360,124,55,,
180,"St Francis High School Street 22 -A
area (Combined)",7,242,224,59,,
181,"Govt Pak National Sec School
(combined)",52,416,84,43,,
182,"Govt Pak National Sec School
(combined)",38,423,58,45,,
183,Al Awan School C Area (Combined),36,415,0,0,,
184,Al Awan School C Area (Combined),25,299,39,29,,
185,Al Awan School C Area (Combined),41,222,33,18,,
186,Gulistan e fatima Qayyumabad (male),20,385,30,98,,
187,"Gulistan e fatima Qayyumabad
fe(male)",10,200,27,81,,
188,"Rahat Islamia GSS Qayyumabad (
cpombined)",19,603,92,42,,
189,"Rahat Islamia GSS Qayyumabad (
cpombined)",17,471,80,16,,
190,"Karachi Public Korangi Crossing
(Combined)",34,205,66,40,,
191,"Karachi Public Korangi Crossing
(Combined)",29,366,86,239,,
192,"Karachi Public Korangi Crossing
(Combined)",20,185,59,90,,
193,"Karachi Public Korangi Crossing
(Combined)",22,233,73,45,,
194,"Al Farooq Public Sec School
(Combined)",1,447,0,0,,
195,GBPS Rizwan (Combined),61,359,63,38,,
