No,Name,PTI-IND,IPP,Total Votes,Filename
279,Government Girls Primary School Guru Nanak Ichhra Lahore. (Female)-II,231,115,,
280,"Aapa Nisar Fatima Girls High School Shah Jamal, Lahore, (Male)-I",0,0,,
281,"Aapa Nisar Fatima Girls High School Shah Jamal, Lahore, (Female)-I",229,128,,
282,"Aapa Nisar Fatima Girls High School Shah Jamal, Lahore, (Male)-II",376,308,,
283,"Aapa Nisar Fatima Girls High School Shah Jamal, Lahore, (Female)-II",351,220,,
284,"City District Government Boys Primary School, Fazalia Colony, Lahore (Combined)-I",317,291,,
285,"HQ School System 26, Shah Jamal Lahore (Combined)-II",0,0,,
286,"CDGL Boys Primary School (MCL) Fazlia Colony, Lahore (Male)-I",462,420,,
287,Azad Chaiwala Institute of Digital Skills Ferozpur Road Lahore (Female)-I,357,288,,
288,Azad Chaiwala Institute of Digital Skills Ferozpur Road Lahore (Male)-I,344,258,,
289,Azad Chaiwala Institute of Digital Skills Ferozpur Road Lahore (Female)-II,198,159,,
290,University of Home Economics S Block Gulberg-II Lahore (Male)-I,671,316,,
291,University of Home Economics S Block Gulberg-II Lahore (Female)-I,508,225,,
292,Government Najaf High School RC Cola Factory Gulberg (Combined)-I,531,381,,
293,"Government Girls High School,Ganga ICE FACTORY (Male)-I",562,291,,
294,"Government Girls High School, Ganga ICE FACTORY (Female)-I",448,209,,
295,"Government Boys High School, F Block, Gulberg, Lahore (Female)-I",508,134,,
296,"Government Boys High School, F Block, Gulberg, Lahore (Male)-I",599,197,,
297,CDGL High School for Girls B- BLOCK GULBERG-II LAHORE (Female)-I,306,126,,
298,CDGL High School for Girls B- BLOCK GULBERG-II LAHORE (Male)-I,369,190,,
299,"Government Girls High School, F BLOCK Main Market GULBERG Lahore (Combined)-I",467,218,,
300,"Government Girls High School, F BLOCK Main Market GULBERG Lahore (Male)-I",505,281,,
301,"Government Girls High School, F BLOCK Main Market GULBERG Lahore (Female)-I",335,160,,
302,"Government Girls High School, F BLOCK Main Market GULBERG Lahore (Male)-II",380,121,,
303,"Government Girls High School, F BLOCK Main Market GULBERG Lahore (Female)-II",277,62,,
304,"Government F.C.C Girls Primary School (English Medium) Shibli Road near Police Station, Ghalib Market, Gulberg, Lahore. (Combined)-I",386,79,,
305,CDGL High School for Girls B- BLOCK GULBERG-II LAHORE (Combined)-I,326,89,,
306,CDGL High School for Girls B- BLOCK GULBERG-II LAHORE (Combined)-II,352,70,,
307,Government Jinnah Degree College for Women Mozang Lahore (Male)-I,499,250,,
308,Government Jinnah Degree College for Women Mozang Lahore (Female)-I,363,133,,
309,Examination Hall Board of Indermedate and Secondary Education Lawrence Road Lahore (Combined)-I,463,155,,
310,Examination Hall Board of Indermedate and Secondary Education Lawrence Road Lahore (Male)-I,378,138,,
311,Examination Hall Board of Indermedate and Secondary Education Lawrence Road Lahore (Female)-I,272,59,,
312,Examination Hall Board of Indermedate and Secondary Education Lawrence Road Lahore (Combined)-II,0,0,,
313,"Lahore College for Women University Shadman, Lahore (Male)-I",439,139,,
314,"Lahore College for Women University Shadman, Lahore (Female)-I",323,65,,
315,"Lahore College for Women University Shadman, Lahore (Male)-II",322,98,,
316,"Lahore College for Women University Shadman, Lahore (Female)-II",274,44,,
317,Government Maqbol Aam High School GOR-I Lahore. (Male)-I,439,259,,
318,Government Maqbol Aam High School GOR-I Lahore. (Female)-I,375,180,,
319,Government Maqbol Aam High School GOR-I Lahore. (Male)-II,321,193,,
320,Government Maqbol Aam High School GOR-I Lahore. (Female)-II,251,135,,
321,"Govt. Darul Nswan Girls High School, 65-A jail road Lahore (Combined)-I",337,236,,
322,GHS Lahore Cantt near QURBAN LINE (MALE)-I,523,330,,
323,GHS Lahore Cantt near QURBAN LINE (FEMALE)-I,400,255,,
324,"City District Government Boys High School, Basti Saiden Shah Colony Lahore (Combined)-I",380,251,,
325,Govt. Secondary school of Special for Deaf and Deffective Hearing School for Boys(GunjMahal)40 T Gulberg-II Lahore (MALE)-I,556,240,,
326,Govt. Secondary school of Special for Deaf and Deffective Hearing School for Boys(GunjMahal)40 T Gulberg-II Lahore (FEMALE)-I,500,159,,
327,Govt. Secondary school of Special for Deaf and Deffective Hearing School for Boys(GunjMahal)40 T Gulberg-II Lahore (COMBINED)-I,340,149,,
328,"GOVT, PRIMARY SCHOOL GURUMANGAT (FEMALE)-I",372,164,,
329,"GOVT, PRIMARY SCHOOL GURUMANGAT (MALE)-I",552,275,,
330,Office of the Auditor General (Pakistan Bureaue of Statistics ) Gurumangat Road Lahore (COMBINED)-I,383,134,,
331,Office of the Auditor General (Pakistan Bureaue of Statistics ) Gurumangat Road Lahore (MALE)-I,352,208,,
332,Office of the Auditor General (Pakistan Bureaue of Statistics ) Gurumangat Road Lahore (FEMALE)-I,266,130,,
333,"Government Primary School, Ittehad Colony behind Nisar Art Press, Lahore (Combined)-I",0,0,,
334,"Govt. Girls Central Model Higher Secondary School Liberty Market Gulberg, Lahore (MALE)-I",426,213,,
335,"Govt. Girls Central Model Higher Secondary School Liberty Market Gulberg, Lahore (FEMALE)-I",302,174,,
336,GOVT Primary School Nabi Pura Gulberg 2 Lahore (Male)-I,236,75,,
337,GOVT Primary School Nabi Pura Gulberg 2 Lahore (Female)-I,197,51,,
338,Iqra Eductaion Center Gulberg -3 Lahore (Male)-I,320,180,,
339,Iqra Eductaion Center Gulberg -3 Lahore (Female)-I,268,146,,
340,CDGL Girls High School QABOOTAR PURA (MALE)-I,378,129,,
341,CDGL Girls High School QABOOTAR PURA (FEMALE)-I,313,71,,
342,GOVT Women COLLEGE Liberty Gulberg FOR GIRLS (MALE)-I,375,82,,
343,GOVT Women COLLEGE Liberty Gulberg FOR GIRLS (FEMALE)-I,0,0,,
344,The Educators School (Quaid Campus) 11-K Gulberg-III Lahore (MALE)-I,446,192,,
345,The Educators School (Quaid Campus) 11-K Gulberg-III Lahore (FEMALE)-I,390,133,,
346,"BALOCH SCHOOL SYSTEM MAKKAH COLONY GULBERG-III, LAHORE (MALE)-I",420,265,,
347,"BALOCH SCHOOL SYSTEM MAKKAH COLONY GULBERG-III, LAHORE (FEMALE)-I",260,154,,
348,"THE HOUSE OF STUDY SCHOOL, MAKKAH COLONY, GALLI NO. 5 GULBERG-III, LAHORE (MALE)-I",296,191,,
349,"THE HOUSE OF STUDY SCHOOL, MAKKAH COLONY, GALLI NO. 5 GULBERG-III, LAHORE (FEMALE)-I",199,105,,
350,"FAMILY WELFARE MIDDLE SCHOOL BEHIND OFFICE UC-204 K-BLOCK, Gulberg (MALE)-I",366,192,,
351,"FAMILY WELFARE MIDDLE SCHOOL BEHIND OFFICE UC-204 K-BLOCK, Gulberg (FEMALE)-I",262,129,,
352,Rahbar Eductaional High School Gulberg-lll (Male)-I,420,203,,
353,Rahbar Eductaional High School Gulberg-lll (Female)-I,394,194,,
354,HAJVARI UNIVERSITY 43-Industrial Area Macca colony GULBERG LAHORE (Male)-I,0,0,,
355,HAJVARI UNIVERSITY 43-Industrial Area Macca colony GULBERG LAHORE (Female)-I,149,92,,
356,HAJVARI UNIVERSITY 43-Industrial Area Macca colony GULBERG LAHORE (Male)-II,510,304,,
357,HAJVARI UNIVERSITY 43-Industrial Area Macca colony GULBERG LAHORE (Female)-II,142,110,,
358,Saint Thomas High School Street 6 Makkah Colony (MALE)-III,269,224,,
359,Saint Thomas High School Street 6 Makkah Colony (FEMALE)-III,0,0,,
360,University of Home Economics S Block Gulberg-II Lahore (Combined)-I,261,53,,
361,Government Najaf High School RC Cola Factory Gulberg Lahore (Combined)-II,252,94,,
362,MUMTAZ MEMORIAL GHSS 26-J GULBERG-III (Combined)-I,491,278,,
363,MUMTAZ MEMORIAL GHSS 26-J GULBERG-III (MALE)-I,297,137,,
364,MUMTAZ MEMORIAL GHSS 26-J GULBERG-III (FEMALE)-I,301,109,,
365,"Amin Maktab School 54 J-Block, Gulberg-III, LAHORE (MALE)-I",586,270,,
366,"Amin Maktab School 54 J-Block, Gulberg-III, LAHORE (FEMALE)-I",442,179,,
367,"Government Girls High School, B-Block, Gulberg-II Lahore (Combined)-I",269,149,,
368,"FC COLLEAGE, Zahoor Elahi Rd, Gulberg III LAHORE (MALE)-I",295,370,,
369,"FC COLLEAGE, Zahoor Elahi Rd, Gulberg III, LAHORE (FEMALE)-I",213,247,,
370,"FC COLLEAGE, Zahoor Elahi Rd, Gulberg III LAHORE (MALE)-II",179,130,,
371,"FC COLLEAGE, Zahoor Elahi Rd, Gulberg III, LAHORE (FEMALE)-II",124,60,,
372,"FC COLLEAGE, Zahoor Elahi Rd, Gulberg III, LAHORE (COMBINED)-I",0,0,,
373,Government Girls Elementary School Chaudhary Colony Kachi Abadi Icchra Lahore (Male)-I,502,259,,
374,Government Girls Elementary School Chaudhary Colony Kachi Abadi Icchra Lahore (Female)-I,396,137,,
375,"British School 6-Peer Ghazi Road, Icchra, Lahore (COMBINED)-I",243,99,,
376,"Ideal Grammer School 65-Peer Ghazi Road, Lahore (COMBINED)-I",202,101,,
377,samanabad town office (Combined)-I,290,153,,
378,samanabad town office (Combined)-II,0,0,,
379,Government Girls Elementary School Chaudhary Colony Kachi Abadi Icchra Lahore (Male)-II,336,174,,
380,Government Girls Elementary School Chaudhary Colony Kachi Abadi Icchra Lahore (Female)-II,233,63,,
381,"PICS Lyceum, Lahore (COMBINED)-I",311,151,,
382,"Pakistan Grammar School, 623.N Samanabad Lahore (COMBINED)-I",324,85,,
383,"Allied School, Daffodils Campus, 171-N Ghazali Road Samanabad, Lahore (MALE)-I",211,113,,
384,"Allied School, Daffodils Campus, 950-N Goal Chakar No.03 Choudhary Colony Samanabad, Lahore (Female)-I",203,61,,
385,"Scholar Islamic Public School Haji Colony Near National Bank Nadeem Shaheed Road Samanabad, Lahore (Male)-I",261,130,,
386,"Scholar Islamic Public School Haji Colony Near National Bank Nadeem Shaheed Road Samanabad, Lahore (Female)-I",178,53,,
387,"Government Sulemania Model Primary School Samanabad, Lahore (MALE)-I",386,199,,
388,"Government Sulemania Model Primary School Samanabad, Lahore (FEMALE)-I",237,76,,
389,Native School Ahmad Munir Shaheed Road Ichra Lahore (Combined)-I,212,65,,
390,SMS Model School Gunj Buksh Ichar School Lahore (Male)-I,242,169,,
391,SMS Model School Gunj Buksh Ichar School Lahore (Female)-I,179,91,,
392,Ahsan Foundation Model School Gunj Buksh Ichar Lahore (Male)-I,283,216,,
393,Ahsan Foundation Model School Gunj Buksh Ichar Lahore (Female)-I,216,107,,
394,Al-Munawar Public High School Shah Kamal Road Lahore (COMBINED)-I,366,260,,
395,Al Azhar Academy Lahore (COMBINED)-I,420,164,,
396,"City District Govt. Boys High School Takia Lehri Shah, Lahore. (Male)-I",455,303,,
397,"City District Govt. Boys High School Takia Lehri Shah, Lahore. (Female)-I",337,230,,
398,"City District Govt. Boys High School Takia Lehri Shah, Lahore. (Male)-II",0,0,,
399,"City District Govt. Boys High School Takia Lehri Shah, Lahore. (Female)-II",353,146,,
400,Samanabad Girls College Samanabad (Male)-I,0,0,,
401,Samanabad Girls College Samanabad (Male)-II,384,150,,
402,Samanabad Girls College Samanabad (Female)-I,416,140,,
403,Samanabad Girls College Samanabad (Female)-II,343,80,,
404,Government Post Graduate College for women Samanabad Lahore (Combined)-I,192,101,,
405,Government Post Graduate College for women Samanabad Lahore (Male)-I,0,0,,
406,Government Post Graduate College for women Samanabad Lahore (Female)-I,387,159,,
407,"Government Sulemania Public High School, Samanabad, Lahore (Combined)-II",277,201,,
408,Government Post Graduate College for women Samanabad Lahore (Combined)-II,236,153,,
409,"Government Sulemania Public High School, Samanabad, Lahore (Female)-I",322,89,,
410,"Government Sulemania Public High School, Samanabad, Lahore (Male)-I",370,162,,
411,"Government Sulemania Public High School, Samanabad, Lahore (Combined)-III",263,87,,
412,"Government Sulemania Public High School, Samanabad, Lahore (Combined)-IV",276,131,,
413,Lahore Cambridge School Zalidar Road Lahore (Female)-I,337,117,,
414,Lahore Cambridge School Zalidar Road Lahore (Male)-I,433,182,,
415,Lahore Cambridge School Zalidar Road Lahore (Male)-II,468,240,,
416,Lahore Cambridge School Zalidar Road Lahore (Female)-II,266,167,,
417,Pak Pioneer School Lahore (Male)-I,416,239,,
418,Pak Pioneer School Lahore (Female)-I,277,152,,
419,Pak Pioneer School Lahore (Male)-II,305,190,,
420,Pak Pioneer School Lahore (Female)-II,220,140,,
421,Standar Model School Pir Ghazi Road Ichhra Lahore (Male)-I,279,184,,
422,Standar Model School Pir Ghazi Road Ichhra Lahore (Female)-I,193,109,,
423,"Kinz Ul Iman Beacon School Rana Street Aziz Park Muhammad Pura Ichra, Lahore (MALE)-I",339,213,,
424,"Kinz Ul Iman Beacon School Rana Street Aziz Park Muhammad Pura Ichra, Lahore (FEMALE)-I",225,149,,
425,"Kinz Ul Iman Beacon School Rana Street Aziz Park Muhammad Pura Ichra, Lahore (FEMALE)-II",133,62,,
426,"Kinz Ul Iman Beacon School Rana Street Aziz Park Muhammad Pura Ichra, Lahore (MALE)-II",186,124,,
427,"Government Shahab-ud-Din Girls High School, Shah Kamal Road, Combo Colony, Lahore. (MALE)-I",263,223,,
428,"Government Shahab-ud-Din Girls High School, Shah Kamal Road, Combo Colony, Lahore. (FEMALE)-I",193,123,,
429,Native School Ahmad Munir Shaheed Road Ichra Lahore (Combined)-I,362,204,,
430,"Government Shahbad-ud-Din Girls High School, Shah Kamal Road, Rawan Lahore (Male)-I",343,155,,
431,"Government Shahbad-ud-Din Girls High School, Shah Kamal Road, Rawan Lahore (Female)-I",215,92,,
432,"Government Shahab-ud-Din Girls High School, Shah Kamal Road, Combo Colony, Lahore. (MALE)-II",321,148,,
433,"Government Shahab-ud-Din Girls High School, Shah Kamal Road, Combo Colony, Lahore. (FEMALE)-II",234,117,,
